id	utterance	context	targetValue	label
nt-4378	what is the total number of awards that the film won or was nominated for?	csv/203-csv/650.csv	12	ARTH
nt-4319	what was the difference between her qualifying scores for balance beam between boston and philadelphia?	csv/204-csv/975.csv	0.4	ARTH
nt-7275	which country has the lowest 2012 gdp at ppp in 2012?	csv/203-csv/530.csv	Comoros	SUPER
nt-5069	who had the most touchdowns: jerel myers or cecil moore?	csv/203-csv/8.csv	Jerel Myers	COMP
nt-339	debuted for great britain (rl) in 1999 then for ireland (ru) in 2007	csv/204-csv/387.csv	Brian Carney	LOOKUP
nt-8000	what is the total number of players that transferred to ajax?	csv/204-csv/402.csv	7	AGG
nt-9131	which nations won at least 6 medals?	csv/204-csv/771.csv	Venezuela|Bolivia|Chile|Peru	LOOKUP
nt-6264	in what year was the best year end ranking achieved?	csv/204-csv/153.csv	2011	COMP
nt-5104	what other airline commenced operations the same year as eagle air?	csv/204-csv/163.csv	Uganda Air Cargo	COMP
nt-4178	what is the code for a unisex restroom?	csv/203-csv/130.csv	U+1F6BB	LOOKUP
nt-11759	how many have won at least 2 gold medals?	csv/203-csv/308.csv	3	ARTH
nt-8326	how many times has a british driver competed?	csv/203-csv/367.csv	8	other
nt-7268	the difference in years from 1882 to 1889	csv/203-csv/665.csv	7	ARTH
nt-10090	who was the oldest player on the squad in the 2011-12 season?	csv/204-csv/753.csv	Andrés Scotti	SUPER
nt-983	what was the top speed in miles per hour?	csv/203-csv/688.csv	4,510	SUPER
nt-11173	what year is at least on the list?	csv/204-csv/117.csv	2007	SUPER
nt-3828	how many locations are bird sanctuaries.	csv/204-csv/752.csv	2	AGG
nt-698	what country has won at least eight silvers?	csv/204-csv/360.csv	Argentina	ARTH
nt-10907	when was the first baseplate issued?	csv/203-csv/379.csv	1913	SUPER
nt-7314	how many currency does the region of africa have	csv/204-csv/321.csv	4	AGG
nt-11383	how many cities are there in rizal?	csv/204-csv/987.csv	14	ARTH
nt-8626	how many players transferred from sweden?	csv/203-csv/440.csv	1	AGG
nt-8881	which nationality had the larger amount of names listed?	csv/204-csv/698.csv	American	AGG
nt-6950	what was the total number of competitors?	csv/204-csv/862.csv	41	ARTH
nt-13863	what is the difference between germany and spains total medals?	csv/203-csv/374.csv	4	ARTH
nt-1374	which country had a release with the same label as germany?	csv/204-csv/17.csv	France	COMP
nt-10329	what is the names of the shows in which sharad kelkar was not himself?	csv/203-csv/173.csv	Saat Phere|Sarvggun Sampanna|Bairi Piya|Sinndoor Tere Naam Ka|Uttaran|Kuch Toh Log Kahenge	LOOKUP
nt-8484	what is the number of votes that megan leslie received?	csv/204-csv/786.csv	19,252	LOOKUP
nt-536	how many movies have less than 20 episodes?	csv/204-csv/671.csv	1	ARTH
nt-6833	did kurt thomas play more or less than 2126 minutes?	csv/203-csv/621.csv	less	COMP
nt-4381	how many points were scored in the final round of the 2012 summer olympics afc qualification?	csv/204-csv/930.csv	12	LOOKUP
